Nome,Plataforma,Ano de lancamento,Genero,Publicadora,Vendas globais,Desenvolvedora,Classificacao,Media de pontuacao,Agrupamento
NBA Live 10,5,2009,1,7,0.45,35,1,43.85,76
Metal Max Returns,8,1995,4,341,0.04,0,0,0.0,58
Girl Time,4,2009,8,28,0.11,166,1,0.0,160
SSX On Tour,7,2005,1,7,0.52,35,1,43.95,70
VMX Racing,13,1997,3,224,0.28,0,0,0.0,48
Zero Divide,13,1995,10,83,0.06,0,0,0.0,136
Dreamworks Madagascar Kartz,1,2009,3,4,0.49,242,1,0.0,44
Real Bout Garou Densetsu,24,1996,10,244,0.1,0,0,0.0,101
XIII,14,2003,7,5,0.25,891,2,41.15,14
Tony Hawk's Proving Ground,7,2007,1,4,0.66,367,3,35.8,70
NHL 2004,14,2003,1,7,0.18,30,1,45.75,72
Chou Gekijouban Keroro Gunsou 3: Tenkuu Daibouken de Arimasu!,4,2008,9,25,0.06,0,0,0.0,160
Tony Hawk: RIDE,5,2009,1,4,0.61,562,4,24.5,76
Space Chimps,5,2008,2,205,0.11,724,4,31.15,76
Michael Jackson: The Experience,1,2010,6,5,4.36,71,4,32.15,129
James Bond 007: Nightfire,9,2003,7,7,0.13,1129,3,37.05,86
Disney Infinity 3.0,5,2015,9,32,0.39,0,0,0.0,85
God Eater,17,2010,9,53,0.72,0,0,0.0,101
1 vs. 100,4,2008,6,290,0.08,1294,1,20.6,27
Clash of the Titans,5,2010,9,25,0.16,488,3,23.05,85
Family Party: 30 Great Games Outdoor Fun,1,2009,6,58,0.16,327,4,0.0,129
Dynasty Warriors 8: Xtreme Legends,6,2013,9,48,0.16,188,3,37.4,85
ZombiU,19,2012,9,5,1.01,195,2,42.35,101
Pokemon Omega Ruby/Pokemon Alpha Sapphire,11,2014,4,0,11.68,0,0,0.0,48
The Lord of the Rings: Conquest,15,2009,9,7,0.02,93,3,31.85,14
Starry ? Sky: In Summer,17,2010,6,418,0.06,0,0,0.0,14
The Tale of Despereaux,1,2008,2,205,0.04,759,4,0.0,44
ESPN NFL Football,7,2003,1,8,0.56,83,1,49.75,70
Tornado Outbreak,1,2009,9,14,0.1,1250,4,39.6,56
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.2,6,2015,9,25,0.02,0,0,0.0,85
Denki Blocks!,9,2001,5,115,0.04,0,0,0.0,38
The Sims 3: Fast Lane Stuff,15,2010,8,7,0.08,23,3,2.7,14
Totaled!,14,2002,3,115,0.07,0,0,0.0,48
Virtua Fighter 3tb,22,1998,10,8,0.37,0,0,0.0,101
Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.,20,2005,2,63,0.05,337,4,29.0,72
Midway Arcade Treasures,20,2003,6,39,0.17,162,3,40.1,14
Tony Hawk: Shred,5,2010,1,4,0.26,562,1,29.8,76
Planet Puzzle League,4,2007,5,0,0.33,55,1,47.1,27
Rogue Warrior,5,2009,7,6,0.11,248,2,15.4,85
Advance Wars: Days of Ruin,4,0,12,0,0.61,55,4,47.35,20
Togainu no Chi: True Blood,7,2008,11,154,0.03,0,0,0.0,25
Alien: Isolation,6,2014,7,8,0.33,218,2,4.15,40
High School Musical 2: Work This Out!,4,2008,6,32,1.15,0,0,0.0,27
The Incredible Hulk: Ultimate Destruction,20,2005,9,23,0.15,311,3,46.55,101
NBA 2K10,5,2009,1,2,0.97,83,1,44.8,76
Make 10: A Journey of Numbers,4,2007,5,0,0.07,0,0,0.0,27
Mobile Suit Gundam: Mokuba no Kiseki,17,2012,9,25,0.04,0,0,0.0,101
Alien Syndrome,17,2007,4,8,0.08,649,3,28.5,48
Grand Theft Auto: San Andreas,5,2008,9,2,0.11,684,2,3.75,85
The Biggest Loser,1,2009,1,28,1.07,0,0,0.0,44
River Raid,16,1981,7,4,1.6,0,0,0.0,14
World Soccer Winning Eleven 9,7,2005,1,14,4.06,69,1,4.1,70
Yoshi,2,1991,5,0,1.75,0,0,0.0,27
Call of Duty: Infinite Warfare,18,2016,7,4,2.42,7,2,40.55,14
Just Dance 4,6,2012,6,5,0.43,12,4,42.05,10
Halloween,16,1982,9,146,0.62,0,0,0.0,101
Grand Theft Auto III,15,2002,9,2,0.01,1669,2,50.7,14
Ratatouille,9,2007,9,28,0.2,193,1,32.5,136
Secret Service,5,2008,9,59,0.05,1454,3,2.75,85
The King of Fighters 02/03,7,2005,10,244,0.07,775,3,40.9,85
Ford Racing 3,4,2005,3,84,0.1,362,1,24.5,11
Tom Clancy's HAWX,15,2009,9,5,0.04,574,3,38.65,14
Amagami,17,2011,11,154,0.15,0,0,0.0,101
Guitar Hero II,7,2006,6,22,5.12,58,3,50.25,10
Jikkyou Powerful Pro Yakyuu 12,7,2005,1,14,0.45,0,0,0.0,70
Battlefield 4,10,2013,7,7,3.59,29,2,45.95,5
15 Days,15,2009,11,233,0.01,1311,0,34.4,101
Star Wars: The Force Unleashed,6,2008,9,18,2.21,143,3,38.8,85
Crash City Mayhem,9,2004,3,28,0.93,0,0,0.0,58
Tak: The Great Juju Challenge,9,2005,2,28,0.17,278,1,26.0,15
F1 2012,15,2012,3,34,0.15,294,1,43.45,48
No More Heroes: Heroes' Paradise,6,2010,9,14,0.19,981,2,39.65,85
Rugby World Cup 2015,15,2015,1,5,0.01,254,1,0.7,72
NBA Live 16,10,2015,1,7,0.18,18,1,32.55,15
Kurupoto Cool Cool Stars,4,2007,9,200,0.06,882,1,0.0,160
Fast Food Panic,1,2009,8,125,0.06,1382,1,28.5,56
Strike Force Bowling,20,2005,1,67,0.06,661,1,23.5,72
Age of Empires: The Age of Kings,4,2006,12,28,0.22,179,4,43.95,20
Vigilante 8: 2nd Offense,13,1999,3,4,0.48,0,0,0.0,48
Romance of the Three Kingdoms III: Dragon of Destiny,8,1992,12,48,0.29,0,0,0.0,81
Dungeons & Dragons Heroes,14,2003,4,10,0.26,0,0,0.0,48
Samurai Shodown V,14,2006,10,153,0.02,1192,3,29.0,101
Resident Evil: Outbreak,7,2003,9,12,1.45,48,2,39.65,85
Get Fit with Mel B,5,0,1,195,0.08,730,1,28.5,76
Rogue Trip: Vacation 2012,13,1998,3,13,0.38,0,0,0.0,48
Baseball,2,1983,1,0,3.2,0,0,0.0,44
Port Royale 3,6,0,8,206,0.07,515,3,4.45,85
Breath of Fire: Dragon Quarter,7,2002,4,12,0.19,48,3,42.45,4
Blades of Blood: Samurai Shodown III,13,1995,10,3,0.08,0,0,0.0,136
Tales of Legendia,7,2005,4,25,0.49,32,3,39.85,4
Spy Fiction,7,2003,9,8,0.04,796,2,30.5,85
Diner Dash: Sizzle & Serve,17,2007,5,21,0.12,0,0,0.0,14
Unit 13,23,2012,7,3,0.5,92,3,39.25,14
NCAA Football 08,6,2007,1,7,0.38,18,1,42.45,3
Burnout,20,2002,3,30,0.3,139,1,42.95,48
Corvette,7,2004,3,71,1.33,309,1,31.75,4
Major League Baseball 2K8,1,2008,1,2,0.14,0,0,0.0,44
Call of Duty: Black Ops 3,18,2015,7,4,7.39,0,0,0.0,14
U-Sing  2,1,2010,6,51,0.09,0,0,0.0,129
Microsoft Flight Simulator 2004: A Century of Flight,15,2003,8,1,0.07,376,1,48.1,14
Pro Angler Moves,6,2012,1,566,0.01,1667,1,0.0,3
Madagascar: Operation Penguin,9,2005,9,4,0.48,67,1,0.0,136
Tom Clancy's Ghost Recon,1,2010,7,5,0.12,68,3,26.4,9
Momotarou Dentetsu DS: Tokyo & Japan,4,2007,6,68,0.34,0,0,0.0,27
The Witcher 2: Assassins of Kings,15,2011,9,25,0.96,81,2,48.25,14
NHL Hitz 20-02,7,2001,1,39,0.56,168,1,42.8,70
Phantasy Star Online Episode I & II Plus,20,2003,4,8,0.05,0,0,0.0,48
Speed Racer,13,1996,3,99,0.07,0,0,0.0,48
SingStar Legends,7,2006,6,3,1.1,223,3,38.0,10
Monster Hunter Freedom,17,2005,4,12,1.34,48,3,39.8,48
TOCA Race Driver 2: Ultimate Racing Simulator,7,2004,3,34,0.06,0,0,0.0,4
The Hidden,11,0,11,53,0.08,112,4,2.1,136
Girls RPG: Cinderellife,11,2012,4,37,0.06,0,0,0.0,48
Elkrone no Atelier: Dear for Otomate,17,2012,9,323,0.02,0,0,0.0,101
AniMates!,4,2007,8,517,0.03,1131,1,17.75,160
NBA Live 98,13,1997,1,7,1.51,0,0,0.0,72
Tail of the Sun,13,1996,4,239,0.02,0,0,0.0,48
NHL FaceOff 2003,7,2002,1,3,0.23,398,1,27.5,70
Beatdown: Fists of Vengeance,14,2005,9,12,0.04,0,0,0.0,136
NHL Powerplay '96,13,1996,1,17,0.12,0,0,0.0,72
Mortal Kombat: Deadly Alliance,9,2002,10,39,0.01,139,2,44.9,136
Sengoku Basara: Sanada Yukimura-Den,6,2016,9,12,0.03,0,0,0.0,85
War Gods,12,1997,10,39,0.29,0,0,0.0,136
Homefront,15,2011,7,28,0.24,493,2,37.75,14
In the Hunt,13,1995,7,28,0.14,0,0,0.0,14
Barbie and the Three Musketeers,1,2009,11,4,0.23,242,1,0.0,69
Tekken Tag Tournament 2,6,2012,10,25,0.85,145,3,45.1,85
Gladius,7,2003,12,4,0.2,143,3,43.0,25
Hokuto no Ken,7,2007,10,8,0.05,0,0,0.0,85
Tears to Tiara: Garland of the Earth,6,2008,12,315,0.08,0,0,0.0,20
Road Rash 64,12,1999,3,28,0.24,0,0,0.0,48
Dragon Age: Origins,6,2009,4,7,1.67,116,2,47.45,4
Insecticide,4,2008,9,411,0.06,696,4,31.0,160
Virtual Pro Wrestling,13,1996,10,371,0.1,0,0,0.0,136
Dora & Kai-Lan's Pet Shelter,4,2011,12,2,0.1,0,0,0.0,20
Backyard NFL Football '09,1,2008,1,10,0.21,0,0,0.0,44
Meitantei Conan & Kindaichi Shounen no Jikenbou: Meguri au Futari no Meitantei,4,2009,11,25,0.08,0,0,0.0,20
RIFT,15,2011,4,53,0.67,529,3,45.65,48
Mirror's Edge,15,2009,2,7,0.06,29,3,44.55,72
EA Sports Active 2,6,2010,1,7,0.91,35,1,41.7,3
Super Mario Maker,19,2015,2,0,3.21,0,1,48.35,72
Calvin Tucker's Redneck Jamboree,1,2008,6,74,0.31,676,4,13.0,129
Momotarou Dentetsu 15,7,2005,6,68,0.22,0,0,0.0,10
The Lord of the Rings: Conquest,5,2009,9,7,0.63,93,3,31.0,85
Smash Court Tennis 3,17,2007,1,25,0.04,314,1,37.15,72
