Nome,Plataforma,Ano de lancamento,Genero,Publicadora,Vendas globais,Desenvolvedora,Classificacao,Media de pontuacao,Agrupamento
NBA Live 10,5,2009,1,7,0.45,35,1,43.85,58
Metal Max Returns,8,1995,4,341,0.04,0,0,0.0,36
Girl Time,4,2009,8,28,0.11,166,1,0.0,57
SSX On Tour,7,2005,1,7,0.52,35,1,43.95,3
VMX Racing,13,1997,3,224,0.28,0,0,0.0,98
Zero Divide,13,1995,10,83,0.06,0,0,0.0,192
Dreamworks Madagascar Kartz,1,2009,3,4,0.49,242,1,0.0,23
Real Bout Garou Densetsu,24,1996,10,244,0.1,0,0,0.0,1136
XIII,14,2003,7,5,0.25,891,2,41.15,100
Tony Hawk's Proving Ground,7,2007,1,4,0.66,367,3,35.8,3
NHL 2004,14,2003,1,7,0.18,30,1,45.75,253
Chou Gekijouban Keroro Gunsou 3: Tenkuu Daibouken de Arimasu!,4,2008,9,25,0.06,0,0,0.0,26
Tony Hawk: RIDE,5,2009,1,4,0.61,562,4,24.5,58
Space Chimps,5,2008,2,205,0.11,724,4,31.15,693
Michael Jackson: The Experience,1,2010,6,5,4.36,71,4,32.15,25
James Bond 007: Nightfire,9,2003,7,7,0.13,1129,3,37.05,28
Disney Infinity 3.0,5,2015,9,32,0.39,0,0,0.0,83
God Eater,17,2010,9,53,0.72,0,0,0.0,34
1 vs. 100,4,2008,6,290,0.08,1294,1,20.6,38
Clash of the Titans,5,2010,9,25,0.16,488,3,23.05,83
Family Party: 30 Great Games Outdoor Fun,1,2009,6,58,0.16,327,4,0.0,25
Dynasty Warriors 8: Xtreme Legends,6,2013,9,48,0.16,188,3,37.4,17
ZombiU,19,2012,9,5,1.01,195,2,42.35,164
Pokemon Omega Ruby/Pokemon Alpha Sapphire,11,2014,4,0,11.68,0,0,0.0,37
The Lord of the Rings: Conquest,15,2009,9,7,0.02,93,3,31.85,68
Starry ? Sky: In Summer,17,2010,6,418,0.06,0,0,0.0,67
The Tale of Despereaux,1,2008,2,205,0.04,759,4,0.0,5
ESPN NFL Football,7,2003,1,8,0.56,83,1,49.75,3
Tornado Outbreak,1,2009,9,14,0.1,1250,4,39.6,106
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.2,6,2015,9,25,0.02,0,0,0.0,17
Denki Blocks!,9,2001,5,115,0.04,0,0,0.0,220
The Sims 3: Fast Lane Stuff,15,2010,8,7,0.08,23,3,2.7,199
Totaled!,14,2002,3,115,0.07,0,0,0.0,60
Virtua Fighter 3tb,22,1998,10,8,0.37,0,0,0.0,1745
Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.,20,2005,2,63,0.05,337,4,29.0,4
Midway Arcade Treasures,20,2003,6,39,0.17,162,3,40.1,1203
Tony Hawk: Shred,5,2010,1,4,0.26,562,1,29.8,58
Planet Puzzle League,4,2007,5,0,0.33,55,1,47.1,88
Rogue Warrior,5,2009,7,6,0.11,248,2,15.4,105
Advance Wars: Days of Ruin,4,0,12,0,0.61,55,4,47.35,14
Togainu no Chi: True Blood,7,2008,11,154,0.03,0,0,0.0,1
Alien: Isolation,6,2014,7,8,0.33,218,2,4.15,78
High School Musical 2: Work This Out!,4,2008,6,32,1.15,0,0,0.0,38
The Incredible Hulk: Ultimate Destruction,20,2005,9,23,0.15,311,3,46.55,291
NBA 2K10,5,2009,1,2,0.97,83,1,44.8,58
Make 10: A Journey of Numbers,4,2007,5,0,0.07,0,0,0.0,88
Mobile Suit Gundam: Mokuba no Kiseki,17,2012,9,25,0.04,0,0,0.0,34
Alien Syndrome,17,2007,4,8,0.08,649,3,28.5,2
Grand Theft Auto: San Andreas,5,2008,9,2,0.11,684,2,3.75,83
The Biggest Loser,1,2009,1,28,1.07,0,0,0.0,6
River Raid,16,1981,7,4,1.6,0,0,0.0,1151
World Soccer Winning Eleven 9,7,2005,1,14,4.06,69,1,4.1,3
Yoshi,2,1991,5,0,1.75,0,0,0.0,2289
Call of Duty: Infinite Warfare,18,2016,7,4,2.42,7,2,40.55,62
Just Dance 4,6,2012,6,5,0.43,12,4,42.05,229
Halloween,16,1982,9,146,0.62,0,0,0.0,102
Grand Theft Auto III,15,2002,9,2,0.01,1669,2,50.7,68
Ratatouille,9,2007,9,28,0.2,193,1,32.5,179
Secret Service,5,2008,9,59,0.05,1454,3,2.75,83
The King of Fighters 02/03,7,2005,10,244,0.07,775,3,40.9,239
Ford Racing 3,4,2005,3,84,0.1,362,1,24.5,1922
Tom Clancy's HAWX,15,2009,9,5,0.04,574,3,38.65,68
Amagami,17,2011,11,154,0.15,0,0,0.0,76
Guitar Hero II,7,2006,6,22,5.12,58,3,50.25,73
Jikkyou Powerful Pro Yakyuu 12,7,2005,1,14,0.45,0,0,0.0,3
Battlefield 4,10,2013,7,7,3.59,29,2,45.95,120
15 Days,15,2009,11,233,0.01,1311,0,34.4,124
Star Wars: The Force Unleashed,6,2008,9,18,2.21,143,3,38.8,17
Crash City Mayhem,9,2004,3,28,0.93,0,0,0.0,112
Tak: The Great Juju Challenge,9,2005,2,28,0.17,278,1,26.0,11
F1 2012,15,2012,3,34,0.15,294,1,43.45,208
No More Heroes: Heroes' Paradise,6,2010,9,14,0.19,981,2,39.65,17
Rugby World Cup 2015,15,2015,1,5,0.01,254,1,0.7,15
NBA Live 16,10,2015,1,7,0.18,18,1,32.55,128
Kurupoto Cool Cool Stars,4,2007,9,200,0.06,882,1,0.0,26
Fast Food Panic,1,2009,8,125,0.06,1382,1,28.5,24
Strike Force Bowling,20,2005,1,67,0.06,661,1,23.5,280
Age of Empires: The Age of Kings,4,2006,12,28,0.22,179,4,43.95,14
Vigilante 8: 2nd Offense,13,1999,3,4,0.48,0,0,0.0,98
Romance of the Three Kingdoms III: Dragon of Destiny,8,1992,12,48,0.29,0,0,0.0,784
Dungeons & Dragons Heroes,14,2003,4,10,0.26,0,0,0.0,515
Samurai Shodown V,14,2006,10,153,0.02,1192,3,29.0,168
