Nome,Plataforma,Ano de lancamento,Genero,Publicadora,Vendas globais,Desenvolvedora,Classificacao,Media de pontuacao,Agrupamento
Metal Gear Solid,12,1998,8,14,6.03,44,1,51.7,583
SOCOM: U.S. Navy SEALs Fireteam Bravo 3,16,2010,6,3,0.44,331,2,41.0,63
World Series Baseball,13,2002,0,8,0.23,909,0,46.9,1719
Spectrobes: Beyond the Portals,3,2008,3,32,0.51,629,3,38.85,149
Yaiba: Ninja Gaiden Z,5,2014,8,48,0.09,1272,1,23.75,381
WWE SmackDown vs. Raw 2009,4,2008,9,28,0.92,156,2,43.05,1280
ESPN NBA Basketball,6,2003,0,8,0.54,83,0,48.7,103
Rise of Nations: Rise of Legends,14,2006,11,1,0.03,440,2,46.25,762
Robocalypse,3,2008,11,48,0.07,1348,3,43.3,729
Ar tonelico: Melody of Elemia,6,2006,3,11,0.1,690,2,39.35,642
Dark Cloud 2,6,2002,3,3,0.96,49,2,48.05,642
Need for Speed: The Run,5,2011,8,7,2.01,168,2,35.2,381
Final Fantasy XI: Treasures of Aht Urhgan,6,2006,3,15,0.23,46,2,47.05,642
Major League Baseball 2K12,4,2012,0,2,0.5,83,0,37.2,433
NCAA March Madness 08,5,2007,0,7,0.09,35,0,35.4,33
The Incredible Hulk,5,2008,8,8,0.26,142,2,30.9,381
Grooverider: Slot Car Thunder,13,2003,2,502,0.01,1670,0,26.15,92
Stranger of Sword City,22,2015,3,131,0.04,1037,2,39.5,92
Spider-Man: Shattered Dimensions,0,2010,8,4,0.24,185,2,41.35,145
Steins;Gate 0,9,2015,10,148,0.05,1009,1,44.65,1211
SSX 3,19,2003,0,7,0.38,35,0,50.35,92
FIFA 14,17,2013,0,7,1.16,35,0,46.9,92
pro evolution soccer 2011,5,2010,0,14,2.41,69,0,41.9,33
Silent Hill 4: The Room,13,2004,8,14,0.18,85,1,42.15,583
Pro Evolution Soccer 2016,14,2015,0,14,0.04,69,0,40.15,1719
Overlord: Raising Hell,5,2008,8,34,0.12,115,2,39.85,381
In The Groove,6,2005,5,22,0.07,1332,0,40.5,42
Marvel vs. Capcom 3: Fate of Two Worlds,5,2011,9,12,1.34,48,2,45.65,441
Ultra Street Fighter IV,9,2015,9,12,0.1,1247,2,38.45,744
PAC-MAN and the Ghostly Adventures,5,2013,1,25,0.08,1315,3,27.05,33
NCAA Football 2004,19,2003,0,7,0.15,18,0,48.25,92
Stranglehold,4,2007,6,39,0.82,162,1,42.3,20
One Piece: Pirate Warriors 3,9,2015,8,25,0.46,188,2,40.7,873
Pro Evolution Soccer 2014,4,2013,8,14,0.24,69,0,42.15,88
Madden NFL 13,22,2012,0,7,0.3,57,0,35.15,92
Ride,9,2015,2,255,0.22,723,0,36.5,248
Dragon Valor,12,1999,3,3,0.07,32,2,32.65,92
Midnight Club: Los Angeles,5,2008,2,2,2.45,39,2,45.1,62
MLB,16,2005,0,3,0.24,398,0,43.95,92
Tony Hawk's Underground 2,13,2004,0,4,0.75,60,2,45.4,1719
Freekstyle,6,2002,2,7,1.06,367,0,44.15,642
Football Manager 2017,14,2016,7,8,0.09,271,0,42.65,63
Diablo,14,1996,3,4,1.59,41,1,51.35,92
Pro Evolution Soccer 2013,4,2012,0,14,0.31,69,0,44.45,433
