Nome,Plataforma,Ano de lancamento,Genero,Publicadora,Vendas globais,Desenvolvedora,Classificacao,Media de pontuacao
Zoo Tycoon 2,15,2004,12,1,0.06,524,1,40.05
Yoake Yori Ruriiro na: Brighter than Dawning Blue,7,2006,11,403,0.07,0,0,0.0
PoPoLoCrois (JP sales),17,2005,4,153,0.08,0,0,0.0
BMX XXX,20,2002,1,30,0.06,300,2,32.5
World Soccer Winning Eleven 7,7,2003,1,14,0.24,0,0,0.0
Ty the Tasmanian Tiger,20,2002,2,7,0.27,213,1,38.85
Flip's Twisted World,1,0,2,53,0.06,135,1,23.5
Deca Sports 2,1,2009,1,68,0.8,160,1,24.5
Myst III: Exile,7,2002,11,5,0.28,848,1,32.0
The Sims 2: Castaway,7,2007,8,7,0.37,97,3,39.5
Super Mario Strikers,20,2005,1,0,1.61,68,1,42.35
Freekstyle,7,2002,3,7,1.06,367,1,44.15
Braid,15,2009,2,512,0.03,1563,4,49.3
Crash Bandicoot: The Huge Adventure,9,2002,2,20,1.73,67,1,42.95
Spectrobes: Beyond the Portals,4,2008,4,32,0.51,629,4,38.85
Skies of Arcadia Legends,20,2002,4,10,0.22,411,3,46.6
SD Gundam G Generation: Cross Drive,4,2007,12,25,0.26,0,0,0.0
pro evolution soccer 2011,15,2010,1,14,0.06,69,0,39.5
NCAA Football 10,17,2009,1,7,0.21,57,1,0.0
Dynasty Warriors 8,6,2013,9,48,0.6,188,3,38.25
Leisure Suit Larry: Magna Cum Laude,7,2004,11,23,0.34,337,2,33.15
Freestyle Metal X,20,2003,3,39,0.02,0,0,0.0
Front Mission 3,13,1999,12,9,0.52,0,0,0.0
Super Smash Bros. for Wii U and 3DS,11,2014,10,0,7.55,0,0,0.0
Wand of Fortune R,23,2016,11,323,0.02,0,0,0.0
Need For Speed: Undercover,1,2008,3,7,0.64,293,3,30.1
Blazing Angels: Squadrons of WWII,1,2007,8,5,0.83,12,3,31.85
My Word Coach,1,2007,6,5,0.51,12,1,34.0
Star Wars The Clone Wars: Jedi Alliance,4,2008,9,18,0.78,143,4,37.9
Winning Post,8,1993,1,48,0.53,0,0,0.0
Monster Force,9,2002,7,20,0.04,80,1,32.5
Disney Magical World,11,2013,11,0,0.92,199,1,39.25
The Idolm@ster: Live for You!,5,2008,6,25,0.07,0,0,0.0
Bionicle Heroes,20,2006,7,21,0.11,50,4,28.1
Berserk and the Band of the Hawk,10,2016,9,48,0.04,188,0,0.0
Intellivision Lives!,14,2004,6,67,0.05,0,0,0.0
Xiaolin Showdown,17,2006,9,14,0.06,992,4,29.5
Pro Pinball: Big Race USA,13,1999,8,2,0.66,533,1,34.5
Shin Megami Tensei II,8,1994,4,91,0.37,0,0,0.0
Shin Megami Tensei: Devil Survivor 2,11,2015,4,91,0.12,0,0,0.0
Peppa Pig: The Game,4,2008,6,112,0.87,0,0,0.0
Bakugan Battle Brawlers: Defenders of the Core,17,2010,9,4,0.15,301,4,0.0
Unchained Blades ,11,2011,4,242,0.04,883,3,36.4
Black,7,2006,7,7,1.25,139,2,43.7
NFL GameDay '97,13,1996,1,3,0.87,0,0,0.0
Animaniacs Ten Pin Alley,13,1998,1,72,0.66,0,0,0.0
Major League Baseball 2K10,1,2010,1,2,0.26,83,1,26.5
Gradius III and IV,7,2000,7,14,0.08,85,1,32.0
Nayuta no Kiseki,17,2012,9,246,0.14,0,0,0.0
Utawarerumono: Chiriyukusha e no Komoriuta,7,2006,11,315,0.11,0,0,0.0
