Ano de lancamento,Classificacao,Desenvolvedora,Genero,Media de pontuacao,Nome,Plataforma,Publicadora,Vendas globais
2001,1,370,3,48.05,Diablo II: Lord of Destruction,14,23,1.06
2012,0,869,8,33.25,Angry Birds Trilogy,4,4,0.26
2008,2,872,8,29.9,Spider-Man: Web of Shadows,14,4,0.02
2013,2,531,8,44.1,Terraria,4,11,0.67
2015,0,167,0,23.05,MX vs. ATV Supercross Encore,9,128,0.06
2002,0,21,10,44.75,Bomberman Generation,19,23,0.25
2007,2,877,5,40.35,World Series of Poker 2008: Battle for the Bracelets,4,4,0.08
2011,0,294,2,44.55,F1 2011,5,34,1.2
2002,0,35,0,45.65,NBA Live 2003,6,7,1.66
2008,1,106,8,48.3,Grand Theft Auto IV,14,2,0.88
2001,0,35,0,50.45,SSX Tricky,6,7,1.73
2010,1,378,6,20.3,Quantum Theory,4,48,0.09
2004,2,663,6,45.25,Gradius V,6,14,0.09
2011,0,299,1,42.65,Sonic Generations,4,8,1.38
2008,2,496,9,38.8,Battle Fantasia,4,11,0.09
2009,3,103,8,38.5,G-Force,0,32,0.44
2004,2,1228,10,39.85,Syberia II,13,5,0.03
2012,2,681,3,31.4,Hyperdimension Neptunia Victory,5,266,0.16
2003,0,964,8,46.8,Astro Boy: Omega Factor,8,28,0.09
2016,0,698,3,40.9,Paper Mario: Color Splash,18,0,0.42
2005,0,661,5,31.35,The Bible Game,13,67,0.05
2006,1,527,8,23.0,Final Fight: Streetwise,13,12,0.02
2003,0,1244,1,39.0,Piglet's Big Game,19,64,0.05
2009,3,243,1,28.9,Where the Wild Things Are,5,19,0.11
2007,0,130,0,45.3,Hot Shots Golf: Open Tee 2,16,3,0.68
2015,3,50,8,43.55,LEGO Dimensions,9,19,0.73
2009,3,12,8,20.4,Teenage Mutant Ninja Turtles: Arcade Attack,3,5,0.13
2016,2,29,1,36.85,Mirror's Edge Catalyst,9,7,0.35
2007,0,35,0,39.9,NBA Live 08,5,7,0.63
2002,0,190,4,25.1,Tetris Worlds,6,28,2.08
2015,2,188,8,27.55,Bladestorm: Nightmare,17,48,0.05
2007,1,149,8,27.85,Beowulf: The Game,4,5,0.4
2008,2,527,8,25.45,Iron Man,4,8,0.57
2014,1,52,6,44.75,Far Cry 4,17,5,1.63
2012,3,275,1,39.2,Crush3D,10,8,0.12
1998,2,9,3,43.55,Lunar: Silver Star Story Complete,12,154,0.55
2014,1,218,6,44.7,Alien: Isolation,14,8,0.14
2007,2,1026,5,34.25,Fullmetal Alchemist: Trading Card Game,3,160,0.01
2009,2,156,9,44.2,WWE SmackDown vs. Raw 2010,4,28,1.04
2010,1,342,8,41.9,Silent Hill: Shattered Memories,6,14,0.59
2007,3,311,8,35.65,Crash of the Titans,4,23,0.32
2009,3,172,8,33.9,Up,4,28,0.29
2001,2,300,0,44.55,Dave Mirra Freestyle BMX 2,6,30,1.38
1997,2,14,3,45.6,Final Fantasy Tactics,12,9,2.45
2005,2,903,3,42.1,Shadow Hearts: From The New World,6,145,0.14
2011,1,1256,11,34.8,Dungeons,14,206,0.09
2012,1,522,8,30.1,Blades of Time,5,14,0.1
2009,0,1309,0,33.65,Pool Hall Pro,0,289,0.05
2006,1,162,9,41.75,Mortal Kombat: Armageddon,6,39,1.06
2009,2,751,3,43.0,Shin Megami Tensei: Persona,16,91,0.22
2002,0,276,0,45.5,NCAA College Basketball 2K3,6,8,0.24
2007,1,492,9,39.7,Mortal Kombat: Armageddon,0,39,0.23
2009,3,242,5,38.15,Guitar Hero On Tour: Modern Hits,3,4,0.37
2008,3,50,8,41.8,LEGO Indiana Jones: The Original Adventures,16,18,1.17
2007,0,83,0,39.0,NBA 2K8,6,2,0.6
2008,0,1215,5,20.75,Wonder World Amusement Park,0,35,0.05
2004,1,342,6,38.7,Serious Sam: Next Encounter,19,63,0.02
2014,3,52,3,45.4,Child of Light,22,5,0.07
2009,0,57,0,42.1,Madden NFL 10,0,7,0.72
2002,0,139,2,40.8,Burnout,13,30,0.13
2009,3,89,7,34.05,Spore Hero,0,7,0.4
2015,1,171,8,40.95,Dying Light,9,19,2.09
2007,0,167,2,30.6,MX vs. ATV Untamed,6,28,0.38
2011,1,52,8,43.6,Assassin's Creed: Revelations,4,5,4.19
2006,2,432,3,33.25,Spectral Force 3,4,323,0.09
2007,1,7,6,50.25,Call of Duty 4: Modern Warfare,14,4,1.15
2012,1,225,8,31.5,Ninja Gaiden 3,5,48,0.43
2003,2,142,7,46.35,The Sims,19,7,0.49
2009,2,156,9,38.65,Legends of WrestleMania,4,28,0.39
2012,1,48,6,39.7,Resident Evil 6,5,12,3.1
2005,1,100,6,44.8,Brothers In Arms: Road to Hill 30,6,5,0.46
2006,0,57,0,45.85,Madden NFL 07,13,7,1.02
1998,2,32,9,52.55,Tekken 3,12,3,7.16
2010,3,293,2,26.85,Need for Speed: Hot Pursuit,0,7,0.46
2007,1,149,8,42.25,Tom Clancy's Splinter Cell: Double Agent,5,5,0.26
2015,1,407,6,40.65,Evolve,14,2,0.19
2004,2,149,8,50.8,Tom Clancy's Splinter Cell: Pandora Tomorrow,13,5,1.48
2010,0,35,0,38.35,NBA Jam,5,7,0.39
2005,3,139,2,49.4,Burnout Revenge,6,7,0.9
2008,2,975,3,33.5,Bleach: The 3rd Phantom,3,8,0.2
2005,1,48,8,52.45,Resident Evil 4,6,12,3.62
2010,1,39,8,52.0,Red Dead Redemption,4,2,6.32
2006,3,340,3,35.5,Children of Mana,3,0,0.48
2003,2,453,2,35.6,Big Mutha Truckers,19,87,0.08
2005,2,675,11,42.4,Battalion Wars,19,0,0.4
2007,1,171,6,38.95,Call of Juarez,4,5,0.18
2002,0,848,10,32.0,Myst III: Exile,6,5,0.28
2016,2,29,1,38.2,Mirror's Edge Catalyst,17,7,0.16
2008,0,162,0,29.6,NBA Ballers: Chosen One,4,39,0.19
2003,0,125,1,32.45,Sonic Adventure DX: Director's Cut,19,8,1.27
2007,2,1006,11,26.4,Empire Earth III,14,23,0.04
2008,2,1052,11,25.9,Stronghold Crusader Extreme,14,411,0.02
2004,0,397,2,28.3,Ford Racing 3,6,2,0.26
2011,3,410,1,40.55,de Blob 2,5,28,0.21
2001,0,74,5,26.65,Pac-Man Fever,6,3,0.51
2008,2,93,6,39.55,Mercenaries 2: World in Flames,5,7,0.87
2007,0,709,2,24.7,Monster Jam,4,4,0.2
2009,3,47,1,47.4,LittleBigPlanet,16,3,2.54
2007,3,311,8,37.4,Crash of the Titans,0,23,0.45
2008,1,52,6,42.65,Tom Clancy's Rainbow Six: Vegas 2,14,5,0.02
2007,0,677,4,40.3,Meteos: Disney Magic,3,32,0.04
2016,1,385,10,46.95,Rise of the Tomb Raider,14,15,0.12
2003,0,460,0,44.5,Links 2004,13,1,0.29
2004,3,48,10,36.8,Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,6,32,0.34
2001,0,251,2,37.9,MXRider,6,10,0.34
2006,2,1475,10,36.7,Secret Files: Tunguska,14,319,0.04
2005,0,1216,4,41.0,Bust-A-Move DS,3,11,0.11
2003,2,729,11,34.4,Risk: Global Domination,6,10,0.38
2009,1,163,3,48.95,Demon's Souls,5,25,1.82
2003,2,116,3,51.6,Star Wars: Knights of the Old Republic,13,4,2.19
2012,2,104,8,27.5,Marvel Avengers: Battle for Earth,18,5,0.12
2016,1,220,8,36.55,Mafia III,9,2,1.81
2005,2,256,9,40.2,Dragon Ball Z: Budokai Tenkaichi,6,10,1.66
2011,0,453,2,22.55,NASCAR 2011: The Game,0,4,0.22
2012,3,46,8,41.6,Kingdom Hearts 3D: Dream Drop Distance,10,15,1.58
2008,1,527,8,25.4,Golden Axe: Beast Rider,4,8,0.33
2014,3,58,5,42.25,Fantasia: Music Evolved,17,32,0.15
2015,3,182,8,39.55,LEGO Jurassic World,14,19,0.04
2005,2,298,8,43.15,Project: Snowblind,6,21,0.21
2007,2,695,11,37.3,"Warhammer 40,000: Squad Command",16,28,0.32
1996,4,209,5,49.7,PaRappa The Rapper,12,3,1.92
2007,2,103,8,30.1,Pirates of the Caribbean: At World's End,0,32,0.45
2002,2,341,8,32.05,The Lord of the Rings: The Fellowship of the Ring,6,80,1.2
2003,1,267,3,36.05,Drakengard,6,15,0.65
2007,0,57,0,45.65,NCAA Football 08,6,7,0.79
2016,0,1381,2,39.6,Assetto Corsa,9,11,0.06
2011,3,77,6,51.9,Portal 2,14,50,0.76
2011,0,778,4,36.15,Mahjong Cub3D,10,240,0.09
2005,2,93,6,43.4,Star Wars: Battlefront II,14,18,0.17
2010,0,40,1,47.8,Donkey Kong Country Returns,0,0,6.44
2004,0,35,0,43.15,NCAA March Madness 2005,6,7,0.53
2016,1,1542,8,44.0,Prison Architect,9,494,0.03
2011,2,1200,7,25.55,JASF: Jane's Advanced Strike Fighters,14,41,0.04
2000,0,32,8,42.85,Ridge Racer V,6,25,1.24
2006,3,18,0,41.35,NHL 07,13,7,0.03
2004,2,790,8,36.8,Rocky: Legends,6,5,0.27
2002,2,60,0,49.8,Tony Hawk's Pro Skater 4,19,4,0.58
2004,0,213,1,38.9,Ty the Tasmanian Tiger 2: Bush Rescue,13,7,0.11
2005,3,91,5,40.1,Namco Museum Battle Collection,16,3,1.08
2011,2,188,8,38.95,Warriors Orochi 3,5,116,0.62
2004,0,215,3,41.95,Kingdom Hearts: Chain of Memories,8,15,1.85
2008,0,644,0,22.4,Backyard Baseball '09,0,10,0.04
1997,1,198,8,47.9,Tenchu: Stealth Assassins,12,4,1.99
2000,0,18,2,36.3,NASCAR 2001,6,7,0.7
2005,0,217,11,25.3,Zoo Tycoon DS,3,28,0.98
